locale,audioLanguageSlug,coreLanguageId,startUnique,unionUnique,atLeast6,atLeast30,atLeast44,eligibleVideoIdsUpperBound,pool:exploring-jesus,pool:forgiveness-and-new-beginnings,pool:hope-and-perseverance,pool:love-and-belonging,pool:meaning-and-purpose,rejected:canonical_duplicate,rejected:editorial_review_pending,rejected:exact_audio_unavailable,rejected:watch_unavailable
en,atitlan-mixe,20830,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,auhelawa,141644,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,aukaans,18698,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,avar,15882,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,avikam,16111,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,avokaya,13567,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,awa,100703,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,awa-8,139568,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,awa-cuaiquer,141518,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,awad-bing,139661,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,awadhi,5603,54,54,True,True,True,135,36,9,23,18,23,1,11,142,2
en,awadhi-nepal,184922,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,awajun,139322,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,awak,10231,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,awgni,53389,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,awing,139611,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,awutu,19468,37,37,True,True,False,67,21,10,15,14,18,1,11,159,2
en,ayizo-2,157289,30,30,True,True,False,55,16,7,12,12,17,1,11,166,2
en,ayizo-tori,145621,1,1,False,False,False,1,1,0,0,0,0,0,11,196,2
en,aymara-central,616,63,63,True,True,True,152,40,14,25,22,24,3,11,130,2
en,ayoreo,139601,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,ayta-abellen,96911,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ayta-ambala,139244,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,ayta-mag-antsi,12596,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,ayta-mag-indi,139772,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,azerbaijani-iran,355,43,43,True,True,False,87,24,12,17,17,19,3,11,150,2
en,azerbaijani-north,689,72,72,True,True,True,164,48,17,27,23,26,3,11,121,2
en,azha,97274,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,aztec-nahuatl-guerrero,20843,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,babanki,139635,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,bacama-bwatiye,53330,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bada,19547,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,badaga,5613,53,53,True,True,True,115,35,9,23,18,23,1,11,143,2
en,bade,10221,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bado-parja,184499,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,baeggu,139997,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,baelelea,139996,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,bafut,2819,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bagheli,6648,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,bagri,5699,53,53,True,True,True,121,35,9,23,18,23,1,11,143,2
en,bahasa-melayu-2,170534,1,1,False,False,False,2,1,0,0,0,0,0,11,196,2
en,bahnar,19391,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bai,3948,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,bai-lama,184480,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,baiso,139961,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bai-southern,25916,37,37,True,True,False,70,22,9,15,13,19,1,11,159,2
en,baitadeli,111587,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bajau-indonesian,17655,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bajhangi,111589,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bajureli,184907,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,baka,97237,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bakairi,1884,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bakhtiari,6800,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bakumpai,19560,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bakwe,184847,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,balangao,12808,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,balangin-indo,184936,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,balanta,13002,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,balanta-ganja,23511,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,balantak,97403,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,balanta-naga,53321,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bali,145699,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bali-madya,19617,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,balkar,18518,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,balochi-eastern,5700,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,balochi-southern,6679,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,balochi-western,353,32,32,True,True,False,61,18,7,14,12,17,1,11,164,2
en,balti,6654,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bambam,20163,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bambara,2075,67,67,True,True,True,157,42,17,26,24,24,3,11,126,2
en,bamu,97185,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bamun,2912,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bana,139663,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,banda-linda,53434,37,37,True,True,False,67,21,10,15,14,18,1,11,159,2
en,bandi,7655,37,37,True,True,False,67,21,10,15,14,18,1,11,159,2
en,bandial,139909,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,banggai,17365,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bangi,4360,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bangjinge,28054,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bangka,144471,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bangla-2,176243,111,111,True,True,True,326,56,26,43,44,47,3,11,82,2
en,bangla-muslim,139082,81,81,True,True,True,228,55,19,31,25,28,3,11,112,2
en,banjar,16827,33,33,True,True,False,65,19,7,14,12,18,1,11,163,2
en,bankagooma,139862,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bantoanon,12801,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bara,7735,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,barai,10726,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bara-tharu,184903,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bareli-pawri,184486,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bareli-rathwi,25919,53,53,True,True,True,121,35,9,23,18,23,1,11,143,2
en,bari,13586,42,42,True,True,False,124,23,12,16,16,19,3,11,151,2
en,bariai,10715,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bariba,1294,57,57,True,True,True,121,37,12,24,20,23,1,11,139,2
en,barka,145881,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,basa,24010,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,basaa,2923,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,basang,146749,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bashkir,18450,54,54,True,True,True,145,36,9,23,18,23,1,11,142,2
en,basketto,4779,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,basque,23514,34,34,True,True,False,76,20,7,14,12,18,1,11,162,2
en,bassa,19508,37,37,True,True,False,69,21,10,15,14,18,1,11,159,2
en,batak-alas,146378,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,batak-angkola,17689,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,batak-karo,17813,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,batak-kluet,146379,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,batak-mandailing,17815,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,batak-simalungun,17814,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,batak-toba,17818,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bateq,139973,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,batui,143190,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,baule,16107,53,53,True,True,True,116,35,9,23,18,23,1,11,143,2
en,bauria,5703,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bawean,153673,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bazigar,5612,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bedamuni,21577,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,beembe,4276,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,behoa,97214,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,beja-bidhaawyeet,184917,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,bekwarra,10208,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bekwel,139761,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bel,161859,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,belanda-viri,140001,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,belleh,158085,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,belorussian,1259,43,43,True,True,False,98,24,12,16,16,19,3,11,150,2
en,bemba,14278,67,67,True,True,True,159,42,17,26,24,24,3,11,126,2
en,bembe,19571,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bena,14277,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,benabena,139554,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bench,19518,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bende-tongwe,139543,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bengali-indian,139081,117,117,True,True,True,334,62,27,44,46,47,3,11,76,2
en,benyadu,97609,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,berom,10185,37,37,True,True,False,69,21,10,15,14,18,1,11,159,2
en,betawi,16652,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bete-daloa,16103,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bete-gagnoa,16098,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bete-guiberoua,16106,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bette,28132,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bhadrawahi,5671,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bharia,5696,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,bhatri,5697,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bhattiyali,6642,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bhele,139693,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bhilali,139684,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bhili,5695,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bhogoto,53435,37,37,True,True,False,67,21,10,15,14,18,1,11,159,2
en,bhojpuri,5667,58,58,True,True,True,145,39,11,24,19,24,1,11,138,2
en,bhojpuri-nepal,145845,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,biafada,16120,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,biak,16488,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bicolano,22100,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,bidayuh-jagoi,151767,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bijago,21963,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bikol-buhinon,100255,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,bilaspuri,6363,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bilua,139762,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,bima,19537,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bimin,12286,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bimoba,5174,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,binandere,139683,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bine,11446,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,binukid,12854,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,birifor,139154,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,birifor-southern,5173,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bishnupriya,23250,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bislama,9181,43,43,True,True,False,99,24,12,16,16,19,3,11,150,2
en,bisu,140169,57,57,True,True,True,123,38,11,24,19,24,1,11,139,2
en,blaan-koronadal,12816,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,blaan-sarangani,12815,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,blackfoot,3105,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,blin,4593,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,blowo,147081,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bobe,115239,42,42,True,True,False,84,23,12,16,16,19,3,11,151,2
en,bobo-madare-southern,2073,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bodo,19594,53,53,True,True,True,116,35,9,23,18,23,1,11,143,2
en,bogghom,158871,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bokyi,2788,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bola,10813,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bolewa,19581,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bolinao,12589,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bomu,2081,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bongo,97457,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bora,139707,33,33,True,True,False,63,19,7,14,12,18,1,11,163,2
en,borna-shinasha,97524,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bororo,1873,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bosnian,20581,42,42,True,True,False,84,23,12,16,16,19,3,11,151,2
en,bouyei,3960,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bouyei-anshun,139132,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,bouyei-qianxi,185354,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bozo-jenaama,140166,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bozo-tigemaxo,139885,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,brahui,351,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,braj-bhasha,5611,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,brazilian-sign-language,1872,1,1,False,False,False,1,1,0,0,0,0,0,11,196,2
en,brezhoneg,158608,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bru-eastern,7371,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bru-van-kieu,185256,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,budu-koya,24092,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,budu-nita,24091,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,budza,15667,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,bugis,17645,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bugis-soppeng,185058,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bugkalot,184845,33,33,True,True,False,64,19,7,14,12,18,1,11,163,2
en,buglere,10601,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bukharian,6934,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,buksa,23325,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bukusu,19606,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
en,bulgarian,1964,73,73,True,True,True,166,48,17,26,26,27,3,11,120,2
en,buli,19610,33,33,True,True,False,62,19,7,14,12,18,1,11,163,2
