locale,audioLanguageSlug,coreLanguageId,htmlLang,publicHomepageLanguage,startUnique,unionUnique,atLeast6,atLeast30,atLeast44,eligibleVideoIdsUpperBound,pool:meaning-and-purpose,pool:hope-and-perseverance,pool:love-and-belonging,pool:forgiveness-and-new-beginnings,pool:exploring-jesus,rejected:editorial_review_pending,rejected:watch_unavailable,rejected:locale_unpublished,rejected:exact_audio_unavailable,rejected:artwork_unavailable,rejected:canonical_duplicate,rejected:video_unresolved
en,anjam,10810,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ansus,139429,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
mg,antandroy,23192,mg-tdx,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,antesaka,139153,en,true,0,0,false,false,false,2,0,0,0,0,0,11,2,0,197,0,0,0
en,anuak,4790,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,anufo,1345,en,true,37,37,true,true,false,67,18,15,14,10,21,11,2,0,159,0,1,0
en,anyin,5333,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ao,176313,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aokha,142264,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,apalai,139476,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,apinaye,1890,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,apurina,1889,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ar,arabic-algerian-spoken,525,ar-arq,true,63,63,true,true,true,152,24,25,22,14,40,11,2,0,130,0,3,0
en,arabic-bedouin,184531,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ar,arabic-chadian-spoken,20531,ar-shu,true,42,42,true,true,false,84,19,16,16,12,23,11,2,0,151,0,3,0
ar,arabic-egyptian-colloquial,20533,ar-arz,true,78,78,true,true,true,236,26,30,28,17,50,11,2,0,115,0,3,0
ar,arabic-gulf,139181,ar-afb,true,54,54,true,true,true,117,23,23,18,9,36,11,2,0,142,0,1,0
mey-Latn,arabic-hassaniya,7839,mey-Latn,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,168,0,0,0
en,arabic-hijazi,184592,en,true,34,34,true,true,false,63,18,14,12,7,20,11,2,0,162,0,1,0
ar,arabic-iraqi-baghdadi,21061,ar-acm,true,42,42,true,true,false,84,19,16,16,12,23,11,2,0,151,0,3,0
en,arabic-juba,38242,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,arabic-khuzestani,185355,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ar,arabic-libyan,184848,ar-ayl,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
ar,arabic-modern-standard,22658,ar,true,154,154,true,true,true,602,61,56,55,38,79,11,2,0,39,0,3,0
ar,arabic-modern-standard-egyptian,53441,ar-arb-EG,true,57,57,true,true,true,134,24,23,18,10,39,11,2,0,139,0,1,0
ar,arabic-modern-standard-sharif,184495,ar-arb,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
ar,arabic-moroccan-spoken,8418,ar-ary,true,65,65,true,true,true,195,24,26,23,14,42,11,2,0,128,0,3,0
en,arabic-najdi,184591,en,true,5,5,false,false,false,9,1,1,1,2,4,11,2,0,192,0,0,0
ar,arabic-north-african,20538,ar-aao,true,1,1,false,false,false,1,0,0,0,0,1,11,2,0,196,0,0,0
ar,arabic-palestinian,53347,ar-ajp,true,63,63,true,true,true,152,24,25,22,14,40,11,2,0,130,0,3,0
ar,arabic-saidi-spoken,4532,ar-aec,true,54,54,true,true,true,132,23,23,18,9,36,11,2,0,142,0,1,0
en,arabic-sanaani,15161,en,true,34,34,true,true,false,63,18,14,12,7,20,11,2,0,162,0,1,0
ar,arabic-sudanese-spoken,13562,ar-apd,true,64,64,true,true,true,153,25,25,23,14,40,11,2,0,129,0,3,0
ar,arabic-taizzi-yemeni,184627,ar-acq,true,53,53,true,true,true,116,23,23,18,9,35,11,2,0,143,0,1,0
ar,arabic-tunisian,20547,ar-aeb,true,62,62,true,true,true,259,24,25,22,14,39,11,2,0,131,0,3,0
en,aralle,145459,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aramba,11251,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,arbore,139498,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,are,144351,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,arhe,139524,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,arifama-miniafia,10616,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aringa,99508,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
hy,armenian,646,hy,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,128,0,0,0
hy,armenian-western,20550,hy-arevmda,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,141,0,0,0
en,arosi,139342,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,arumanian,176089,en,true,53,53,true,true,true,118,23,23,18,9,35,11,2,0,143,0,1,0
en,asante-twi,185199,en,true,58,58,true,true,true,137,23,24,20,12,38,11,2,0,138,0,1,0
en,ashaninka,140060,en,true,53,53,true,true,true,115,23,23,18,9,35,11,2,0,143,0,1,0
en,asheninca-pichis,23941,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
as,assamese,1171,as,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,140,0,0,0
en,assamese-muslim,185219,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,assyrian,20551,en,true,53,53,true,true,true,116,23,23,18,9,35,11,2,0,143,0,1,0
en,ateso,20963,en,true,37,37,true,true,false,67,18,15,14,10,21,11,2,0,159,0,1,0
en,athpariya,97073,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,atitlan-mixe,20830,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,auhelawa,141644,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,aukaans,18698,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
av,avar,15882,av,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,avikam,16111,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,avokaya,13567,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,awa,100703,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,awa-8,139568,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,awa-cuaiquer,141518,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,awad-bing,139661,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,awadhi,5603,en,true,54,54,true,true,true,135,23,23,18,9,36,11,2,0,142,0,1,0
en,awadhi-nepal,184922,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,awajun,139322,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,awak,10231,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,awgni,53389,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,awing,139611,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,awutu,19468,en,true,37,37,true,true,false,67,18,15,14,10,21,11,2,0,159,0,1,0
en,ayizo-2,157289,en,true,30,30,true,true,false,55,17,12,12,7,16,11,2,0,166,0,1,0
en,ayizo-tori,145621,en,true,1,1,false,false,false,1,0,0,0,0,1,11,2,0,196,0,0,0
en,aymara-central,616,en,true,63,63,true,true,true,152,24,25,22,14,40,11,2,0,130,0,3,0
en,ayoreo,139601,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,ayta-abellen,96911,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ayta-ambala,139244,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,ayta-mag-antsi,12596,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,ayta-mag-indi,139772,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,azerbaijani-iran,355,en,true,43,43,true,true,false,87,19,17,17,12,24,11,2,0,150,0,3,0
en,azerbaijani-north,689,en,true,72,72,true,true,true,164,26,27,23,17,48,11,2,0,121,0,3,0
en,azha,97274,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,aztec-nahuatl-guerrero,20843,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,babanki,139635,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,bacama-bwatiye,53330,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bada,19547,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,badaga,5613,en,true,53,53,true,true,true,115,23,23,18,9,35,11,2,0,143,0,1,0
en,bade,10221,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bado-parja,184499,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,baeggu,139997,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,baelelea,139996,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,bafut,2819,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bagheli,6648,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,bagri,5699,en,true,53,53,true,true,true,121,23,23,18,9,35,11,2,0,143,0,1,0
en,bahasa-melayu-2,170534,en,true,1,1,false,false,false,2,0,0,0,0,1,11,2,0,196,0,0,0
en,bahnar,19391,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bai,3948,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,bai-lama,184480,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,bai-southern,25916,en,true,37,37,true,true,false,70,19,15,13,9,22,11,2,0,159,0,1,0
en,baiso,139961,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ne,baitadeli,111587,npi,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,bajau-indonesian,17655,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ne,bajhangi,111589,npi,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
ne,bajureli,184907,npi,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,baka,97237,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bakairi,1884,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bakhtiari,6800,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bakumpai,19560,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bakwe,184847,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,balangao,12808,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,balangin-indo,184936,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,balanta,13002,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
bjt,balanta-ganja,23511,bjt,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,balanta-naga,53321,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,balantak,97403,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bali,145699,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bali-madya,19617,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
krc,balkar,18518,krc,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
en,balochi-eastern,5700,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,balochi-southern,6679,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,balochi-western,353,en,true,32,32,true,true,false,61,17,14,12,7,18,11,2,0,164,0,1,0
en,balti,6654,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bambam,20163,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bambara,2075,en,true,67,67,true,true,true,157,24,26,24,17,42,11,2,0,126,0,3,0
en,bamu,97185,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bamun,2912,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bana,139663,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,banda-linda,53434,en,true,37,37,true,true,false,67,18,15,14,10,21,11,2,0,159,0,1,0
en,bandi,7655,en,true,37,37,true,true,false,67,18,15,14,10,21,11,2,0,159,0,1,0
en,bandial,139909,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,banggai,17365,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bangi,4360,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bangjinge,28054,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bangka,144471,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
bn,bangla-2,176243,bn,true,112,112,true,true,true,326,47,44,44,26,57,11,2,1,82,0,2,0
bn,bangla-muslim,139082,bn-BD,true,82,82,true,true,true,228,28,32,25,19,56,11,2,1,112,0,2,0
en,banjar,16827,en,true,33,33,true,true,false,65,18,14,12,7,19,11,2,0,163,0,1,0
en,bankagooma,139862,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bantoanon,12801,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bara,7735,en,true,33,33,true,true,false,64,18,14,12,7,19,11,2,0,163,0,1,0
en,bara-tharu,184903,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,barai,10726,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bareli-pawri,184486,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bareli-rathwi,25919,en,true,53,53,true,true,true,121,23,23,18,9,35,11,2,0,143,0,1,0
en,bari,13586,en,true,42,42,true,true,false,124,19,16,16,12,23,11,2,0,151,0,3,0
en,bariai,10715,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bariba,1294,en,true,57,57,true,true,true,121,23,24,20,12,37,11,2,0,139,0,1,0
en,barka,145881,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,basa,24010,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,basaa,2923,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,basang,146749,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
ba,bashkir,18450,ba,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,142,0,0,0
en,basketto,4779,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
eu,basque,23514,eu,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,170,0,0,0
en,bassa,19508,en,true,37,37,true,true,false,69,18,15,14,10,21,11,2,0,159,0,1,0
en,batak-alas,146378,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,batak-angkola,17689,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,batak-karo,17813,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,batak-kluet,146379,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,batak-mandailing,17815,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,batak-simalungun,17814,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,batak-toba,17818,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bateq,139973,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,batui,143190,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,baule,16107,en,true,53,53,true,true,true,116,23,23,18,9,35,11,2,0,143,0,1,0
en,bauria,5703,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bawean,153673,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bazigar,5612,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bedamuni,21577,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,beembe,4276,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,behoa,97214,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,beja-bidhaawyeet,184917,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,bekwarra,10208,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bekwel,139761,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bel,161859,en,true,33,33,true,true,false,63,18,14,12,7,19,11,2,0,163,0,1,0
en,belanda-viri,140001,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,belleh,158085,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
be,belorussian,1259,be,true,0,0,false,false,false,0,0,0,0,0,0,11,2,197,158,0,0,0
en,bemba,14278,en,true,67,67,true,true,true,159,24,26,24,17,42,11,2,0,126,0,3,0
en,bembe,19571,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bena,14277,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,benabena,139554,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bench,19518,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bende-tongwe,139543,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
bn,bengali-indian,139081,bn,true,117,117,true,true,true,333,47,44,46,27,62,11,2,1,76,0,2,0
en,benyadu,97609,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,berom,10185,en,true,37,37,true,true,false,69,18,15,14,10,21,11,2,0,159,0,1,0
en,betawi,16652,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bete-daloa,16103,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bete-gagnoa,16098,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bete-guiberoua,16106,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
en,bette,28132,en,true,33,33,true,true,false,62,18,14,12,7,19,11,2,0,163,0,1,0
