localeGroup,audioLanguageSlug,coreLanguageId,startUnique,unionUnique,atLeast6,atLeast30,atLeast44,eligibleVideoIdsUpperBound,pool:meaning-and-purpose,pool:hope-and-perseverance,pool:love-and-belonging,pool:forgiveness-and-new-beginnings,pool:exploring-jesus,rejected:editorial_review_pending,rejected:watch_unavailable,rejected:locale_unpublished,rejected:exact_audio_unavailable,rejected:artwork_unavailable,rejected:canonical_duplicate,rejected:video_unresolved
group-01,afar,4468,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,afrikaans,1444,0,0,false,false,false,0,0,0,0,0,0,11,2,197,83,0,0,0
group-01,agabag,143624,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,agarabi,96835,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,agatu,9290,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aghem,139321,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aguna,139205,0,0,false,false,false,0,0,0,0,0,0,11,2,197,182,0,0,0
group-01,agusan-surigao-manobo,184668,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ahanta,5170,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ahirani,6330,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,a-hmao,22812,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,aikana,184550,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aja-gbe,1280,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,ajiya,141189,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,akebu,141199,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,akeu,96819,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,akha,3712,0,0,false,false,false,0,0,0,0,0,0,11,2,197,170,0,0,0
group-01,aklanon,12853,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,akoose,2894,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,akposo,5296,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,akuku,139598,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,alaba,4793,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,alagwa,142694,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,alangan,139397,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,albanian,20526,0,0,false,false,false,0,0,0,0,0,0,11,2,197,127,0,0,0
group-01,albanian-kosovar,20528,0,0,false,false,false,0,0,0,0,0,0,11,2,197,167,0,0,0
group-01,ale-gawwada,98459,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,alis-i-ron,134882,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,altai,21554,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,alur,14694,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ama,20118,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,amam,184583,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,amanab,10685,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ambae-east,144776,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ambai,139414,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ambrym-southeast,141931,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,amdo-tibetan,23089,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,american-sign-language,19171,0,0,false,false,false,0,0,0,0,0,0,11,2,197,195,0,0,0
group-01,amharic,4791,0,0,false,false,false,0,0,0,0,0,0,11,2,197,116,0,0,0
group-01,amuzgo-guerrero,8351,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,amuzgo-oaxaca,8338,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,anaang,9317,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,andaandi,140196,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,andio,140162,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,angaataha,139319,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,angal-heneng,139376,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,angika,23330,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,anjam,10810,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ansus,139429,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,antandroy,23192,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,antesaka,139153,0,0,false,false,false,0,0,0,0,0,0,11,2,197,197,0,0,0
group-01,anuak,4790,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,anufo,1345,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,anyin,5333,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ao,176313,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aokha,142264,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,apalai,139476,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,apinaye,1890,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,apurina,1889,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arabic-algerian-spoken,525,0,0,false,false,false,0,0,0,0,0,0,11,2,197,130,0,0,0
group-01,arabic-bedouin,184531,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arabic-chadian-spoken,20531,0,0,false,false,false,0,0,0,0,0,0,11,2,197,168,0,0,0
group-01,arabic-egyptian-colloquial,20533,0,0,false,false,false,0,0,0,0,0,0,11,2,197,115,0,0,0
group-01,arabic-gulf,139181,0,0,false,false,false,0,0,0,0,0,0,11,2,197,153,0,0,0
group-01,arabic-hassaniya,7839,0,0,false,false,false,0,0,0,0,0,0,11,2,197,168,0,0,0
group-01,arabic-hijazi,184592,0,0,false,false,false,0,0,0,0,0,0,11,2,197,179,0,0,0
group-01,arabic-iraqi-baghdadi,21061,0,0,false,false,false,0,0,0,0,0,0,11,2,197,168,0,0,0
group-01,arabic-juba,38242,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arabic-khuzestani,185355,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arabic-libyan,184848,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arabic-modern-standard,22658,0,0,false,false,false,0,0,0,0,0,0,11,2,197,39,0,0,0
group-01,arabic-modern-standard-egyptian,53441,0,0,false,false,false,0,0,0,0,0,0,11,2,197,139,0,0,0
group-01,arabic-modern-standard-sharif,184495,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arabic-moroccan-spoken,8418,0,0,false,false,false,0,0,0,0,0,0,11,2,197,128,0,0,0
group-01,arabic-najdi,184591,0,0,false,false,false,0,0,0,0,0,0,11,2,197,192,0,0,0
group-01,arabic-north-african,20538,0,0,false,false,false,0,0,0,0,0,0,11,2,197,196,0,0,0
group-01,arabic-palestinian,53347,0,0,false,false,false,0,0,0,0,0,0,11,2,197,130,0,0,0
group-01,arabic-saidi-spoken,4532,0,0,false,false,false,0,0,0,0,0,0,11,2,197,142,0,0,0
group-01,arabic-sanaani,15161,0,0,false,false,false,0,0,0,0,0,0,11,2,197,179,0,0,0
group-01,arabic-sudanese-spoken,13562,0,0,false,false,false,0,0,0,0,0,0,11,2,197,129,0,0,0
group-01,arabic-taizzi-yemeni,184627,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,arabic-tunisian,20547,0,0,false,false,false,0,0,0,0,0,0,11,2,197,142,0,0,0
group-01,aralle,145459,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aramba,11251,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arbore,139498,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,are,144351,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arhe,139524,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arifama-miniafia,10616,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aringa,99508,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,armenian,646,0,0,false,false,false,0,0,0,0,0,0,11,2,197,128,0,0,0
group-01,armenian-western,20550,0,0,false,false,false,0,0,0,0,0,0,11,2,197,141,0,0,0
group-01,arosi,139342,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,arumanian,176089,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,asante-twi,185199,0,0,false,false,false,0,0,0,0,0,0,11,2,197,138,0,0,0
group-01,ashaninka,140060,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,asheninca-pichis,23941,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,assamese,1171,0,0,false,false,false,0,0,0,0,0,0,11,2,197,140,0,0,0
group-01,assamese-muslim,185219,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,assyrian,20551,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,ateso,20963,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,athpariya,97073,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,atitlan-mixe,20830,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,auhelawa,141644,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aukaans,18698,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,avar,15882,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,avikam,16111,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,avokaya,13567,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awa,100703,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awa-8,139568,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awa-cuaiquer,141518,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awad-bing,139661,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awadhi,5603,0,0,false,false,false,0,0,0,0,0,0,11,2,197,142,0,0,0
group-01,awadhi-nepal,184922,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awajun,139322,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awak,10231,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awgni,53389,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awing,139611,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,awutu,19468,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,ayizo-2,157289,0,0,false,false,false,0,0,0,0,0,0,11,2,197,182,0,0,0
group-01,ayizo-tori,145621,0,0,false,false,false,0,0,0,0,0,0,11,2,197,196,0,0,0
group-01,aymara-central,616,0,0,false,false,false,0,0,0,0,0,0,11,2,197,130,0,0,0
group-01,ayoreo,139601,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ayta-abellen,96911,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ayta-ambala,139244,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ayta-mag-antsi,12596,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,ayta-mag-indi,139772,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,azerbaijani-iran,355,0,0,false,false,false,0,0,0,0,0,0,11,2,197,167,0,0,0
group-01,azerbaijani-north,689,0,0,false,false,false,0,0,0,0,0,0,11,2,197,121,0,0,0
group-01,azha,97274,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,aztec-nahuatl-guerrero,20843,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,babanki,139635,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bacama-bwatiye,53330,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bada,19547,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,badaga,5613,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,bade,10221,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bado-parja,184499,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,baeggu,139997,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,baelelea,139996,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bafut,2819,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bagheli,6648,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bagri,5699,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,bahasa-melayu-2,170534,0,0,false,false,false,0,0,0,0,0,0,11,2,197,196,0,0,0
group-01,bahnar,19391,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bai,3948,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bai-lama,184480,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,baiso,139961,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bai-southern,25916,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,baitadeli,111587,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bajau-indonesian,17655,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bajhangi,111589,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bajureli,184907,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,baka,97237,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bakairi,1884,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bakhtiari,6800,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bakumpai,19560,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bakwe,184847,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balangao,12808,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balangin-indo,184936,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balanta,13002,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balanta-ganja,23511,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balantak,97403,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balanta-naga,53321,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bali,145699,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bali-madya,19617,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balkar,18518,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balochi-eastern,5700,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balochi-southern,6679,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,balochi-western,353,0,0,false,false,false,0,0,0,0,0,0,11,2,197,181,0,0,0
group-01,balti,6654,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bambam,20163,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bambara,2075,0,0,false,false,false,0,0,0,0,0,0,11,2,197,126,0,0,0
group-01,bamu,97185,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bamun,2912,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bana,139663,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,banda-linda,53434,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,bandi,7655,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,bandial,139909,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,banggai,17365,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bangi,4360,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bangjinge,28054,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bangka,144471,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bangla-2,176243,0,0,false,false,false,0,0,0,0,0,0,11,2,197,83,0,0,0
group-01,bangla-muslim,139082,0,0,false,false,false,0,0,0,0,0,0,11,2,197,113,0,0,0
group-01,banjar,16827,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bankagooma,139862,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bantoanon,12801,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bara,7735,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,barai,10726,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bara-tharu,184903,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bareli-pawri,184486,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bareli-rathwi,25919,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,bari,13586,0,0,false,false,false,0,0,0,0,0,0,11,2,197,168,0,0,0
group-01,bariai,10715,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bariba,1294,0,0,false,false,false,0,0,0,0,0,0,11,2,197,150,0,0,0
group-01,barka,145881,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,basa,24010,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,basaa,2923,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,basang,146749,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bashkir,18450,0,0,false,false,false,0,0,0,0,0,0,11,2,197,142,0,0,0
group-01,basketto,4779,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,basque,23514,0,0,false,false,false,0,0,0,0,0,0,11,2,197,170,0,0,0
group-01,bassa,19508,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,batak-alas,146378,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,batak-angkola,17689,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,batak-karo,17813,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,batak-kluet,146379,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,batak-mandailing,17815,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,batak-simalungun,17814,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,batak-toba,17818,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bateq,139973,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,batui,143190,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,baule,16107,0,0,false,false,false,0,0,0,0,0,0,11,2,197,154,0,0,0
group-01,bauria,5703,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bawean,153673,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bazigar,5612,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bedamuni,21577,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,beembe,4276,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,behoa,97214,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,beja-bidhaawyeet,184917,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bekwarra,10208,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bekwel,139761,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bel,161859,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,belanda-viri,140001,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,belleh,158085,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,belorussian,1259,0,0,false,false,false,0,0,0,0,0,0,11,2,197,158,0,0,0
group-01,bemba,14278,0,0,false,false,false,0,0,0,0,0,0,11,2,197,126,0,0,0
group-01,bembe,19571,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bena,14277,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,benabena,139554,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bench,19518,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bende-tongwe,139543,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bengali-indian,139081,0,0,false,false,false,0,0,0,0,0,0,11,2,197,77,0,0,0
group-01,benyadu,97609,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,berom,10185,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,betawi,16652,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bete-daloa,16103,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bete-gagnoa,16098,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bete-guiberoua,16106,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bette,28132,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bhadrawahi,5671,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bharia,5696,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bhatri,5697,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bhattiyali,6642,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bhele,139693,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bhilali,139684,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bhili,5695,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bhogoto,53435,0,0,false,false,false,0,0,0,0,0,0,11,2,197,176,0,0,0
group-01,bhojpuri,5667,0,0,false,false,false,0,0,0,0,0,0,11,2,197,138,0,0,0
group-01,bhojpuri-nepal,145845,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,biafada,16120,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,biak,16488,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bicolano,22100,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bidayuh-jagoi,151767,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
group-01,bijago,21963,0,0,false,false,false,0,0,0,0,0,0,11,2,197,180,0,0,0
